Bought:, 3/13/2015 12:00:00 AM, 99.849998, 100.050003, 98.639999, 99.209999, Sold:, 3/16/2015 12:00:00 AM, 99.739998, 101.07, 99.739998, 101.059998, Low:, 98.639999, Value:, 241.999900
Bought:, 3/17/2015 12:00:00 AM, 100.110001, 100.519997, 99.410004, 99.889999, Sold:, 3/19/2015 12:00:00 AM, 101.040001, 101.959999, 100.910004, 101.690002, Low:, 99.410004, Value:, 227.999800
Bought:, 3/24/2015 12:00:00 AM, 102.830002, 103.230003, 101.93, 101.959999, Sold:, 5/18/2015 12:00:00 AM, 102.370003, 104.339996, 102.32, 103.419998, Low:, 101.93, Value:, 148.999800
Bought:, 5/21/2015 12:00:00 AM, 102.910004, 103.300003, 102.339996, 102.419998, Sold:, 6/10/2015 12:00:00 AM, 98.480003, 99.550003, 98.199997, 98.879997, Low:, 97.800003, Value:, -818.71996800

 Bought:, 6/12/2015 12:00:00 AM, 98.879997, 99.230003, 98.120003, 98.349998
 Last:, 6/12/2015 12:00:00 AM, 98.879997, 99.230003, 98.120003, 98.349998
Daily Low:, 6/12/2015 12:00:00 AM, 98.879997, 99.230003, 98.120003, 98.349998
 Date:, 6/12/2015 12:00:00 AM
  Low:, 98.120003
gains:, 618.999500
 loss:, -818.71996800
  sum:, -199.72046800
