Bought:, 3/13/2015 12:00:00 AM, 81.980003, 82.279999, 81.150002, 81.830002, Sold:, 3/16/2015 12:00:00 AM, 82.080002, 83.949997, 81.989998, 83.559998, Low:, 81.150002, Value:, 240.999600
Bought:, 3/18/2015 12:00:00 AM, 82.860001, 84.050003, 82.019997, 83.75, Sold:, 3/19/2015 12:00:00 AM, 83.459999, 83.75, 83.120003, 83.379997, Low:, 82.019997, Value:, 136.000000
Bought:, 3/24/2015 12:00:00 AM, 84.889999, 85.110001, 83.870003, 83.919998, Sold:, 5/1/2015 12:00:00 AM, 79.760002, 80.32, 79.629997, 80.290001, Low:, 79.07, Value:, -411.000100
Bought:, 5/5/2015 12:00:00 AM, 80.50, 80.650002, 79.779999, 80.07, Sold:, 5/8/2015 12:00:00 AM, 80.889999, 81.209999, 80.82, 80.959999, Low:, 79.779999, Value:, 118.000000

 Bought:, 5/11/2015 12:00:00 AM, 80.949997, 80.989998, 80.260002, 80.269997
 Last:, 6/12/2015 12:00:00 AM, 79.169998, 79.32, 78.57, 78.870003
Daily Low:, 6/12/2015 12:00:00 AM, 79.169998, 79.32, 78.57, 78.870003
 Date:, 6/12/2015 12:00:00 AM
  Low:, 78.57
gains:, 494.999600
 loss:, -411.000100
  sum:, 83.999500
