Bought:, 3/13/2015 12:00:00 AM, 15.01, 15.13, 14.90, 15.09, Sold:, 3/27/2015 12:00:00 AM, 14.27, 14.42, 14.18, 14.34, Low:, 14.02, Value:, -126.00
Bought:, 4/6/2015 12:00:00 AM, 14.77, 14.95, 14.66, 14.67, Sold:, 6/2/2015 12:00:00 AM, 15.45, 15.72, 15.41, 15.61, Low:, 15.38, Value:, 200.00

 Bought:, 6/4/2015 12:00:00 AM, 15.77, 15.93, 15.52, 15.63
 Last:, 6/12/2015 12:00:00 AM, 15.08, 15.33, 14.86, 14.93
Daily Low:, 6/12/2015 12:00:00 AM, 15.08, 15.33, 14.86, 14.93
 Date:, 6/12/2015 12:00:00 AM
  Low:, 14.86
gains:, 100.00
 loss:, -63.00
  sum:, 37.00
